排名,書籍名稱,作者,連結
69,以太奇襲：一位19歲天才，一場數位與金融革命,卡蜜拉．盧索,https://www.books.com.tw/products/0010903379?loc=P_0003_069
70,聖誕小豬：《哈利波特》作者J.K. 羅琳最新作品！只要還存有一絲希望，沒有東西會永遠喪失。因為愛，讓我們永存不朽！,J.K. 羅琳,https://www.books.com.tw/products/0010904583?loc=P_0003_070
71,家庭裡的對話練習：張輝誠的薩提爾實踐,張輝誠,https://www.books.com.tw/products/0010903146?loc=P_0003_071
72,菈菈的婚禮 第二卷【限】,ためこう,https://www.books.com.tw/products/0010903069?loc=P_0003_072
73,天官賜福 一,墨香銅臭,https://www.books.com.tw/products/0010881589?loc=P_0003_073
74,勝率近100%的可轉債存股術：新手入門的第一本可轉債教戰手冊,蕭啟斌,https://www.books.com.tw/products/0010899965?loc=P_0003_074
75,人渣反派自救系統 上,墨香銅臭,https://www.books.com.tw/products/0010756200?loc=P_0003_075
76,人渣反派自救系統 下,墨香銅臭,https://www.books.com.tw/products/0010756205?loc=P_0003_076
77,我想跟你好好說話：賴佩霞的六堂「非暴力溝通」入門課,賴佩霞,https://www.books.com.tw/products/0010853918?loc=P_0003_077
78,原子時間：奇蹟的晚間4小時，改變人生、收入翻倍，社畜獸醫的時間管理實證,柳韓彬,https://www.books.com.tw/products/0010897780?loc=P_0003_078
79,人渣反派自救系統 中,墨香銅臭,https://www.books.com.tw/products/0010756204?loc=P_0003_079
80,天官賜福 二,墨香銅臭,https://www.books.com.tw/products/0010881591?loc=P_0003_080
81,梅克爾傳（限量軟皮精裝版）：一場卓越的史詩之旅,凱蒂．馬頓,https://www.books.com.tw/products/0010904413?loc=P_0003_081
82,交通警察之夜（博客來獨家版）,東野圭吾,https://www.books.com.tw/products/0010901480?loc=P_0003_082
83,請問覺醒：無極瑤池金母密傳靈魂覺醒啟示錄（獨家簽名版）,宇色Osel,https://www.books.com.tw/products/0010903041?loc=P_0003_083
84,演說高手都是這樣練的：歐陽立中的40堂魅力演說課【作者親簽版】,歐陽立中,https://www.books.com.tw/products/0010903730?loc=P_0003_084
85,最高喝水法：台灣首席品水師教你正確喝水，深度改變健康與生活,陳君潔,https://www.books.com.tw/products/0010902227?loc=P_0003_085
86,姊嫁物語 (13),森薰,https://www.books.com.tw/products/0010899804?loc=P_0003_086
87,如果歷史是一群喵(8)：盛世大唐篇【萌貓漫畫學歷史】,肥志,https://www.books.com.tw/products/0010896323?loc=P_0003_087
88,葬送的芙莉蓮 3(首刷限定版),"山田鐘人,阿部司",https://www.books.com.tw/products/0010900345?loc=P_0003_088
89,我深愛的大野狼,佐倉リコ,https://www.books.com.tw/products/0010900701?loc=P_0003_089
90,算癌症：運用大數據、五運六氣、易經八卦，治療癌症於發生之前！,樓中亮,https://www.books.com.tw/products/0010901661?loc=P_0003_090
91,【博客來獨家燙箔書衣】人慈：橫跨二十萬年的人性旅程，用更好的視角看待自己,羅格．布雷格曼,https://www.books.com.tw/products/0010900292?loc=P_0003_091
92,幼兒園教保活動課程大綱,教育部,https://www.books.com.tw/products/0010780550?loc=P_0003_092
93,夢裡可以做到哪一步？ 全,百?あん,https://www.books.com.tw/products/0010900813?loc=P_0003_093
94,沒有大學文憑的日子，我說故事【暢銷珍藏版】,王文靜,https://www.books.com.tw/products/0010902953?loc=P_0003_094
95,人生有所謂，決斷無所畏：電通集團CEO唐心慧分享如何做好決定，告別糾結人生！（附「練出決斷力」引導式筆記）,唐心慧,https://www.books.com.tw/products/0010897718?loc=P_0003_095
96,高層次閱讀與思考：建中名師親授，克服閱讀萬字長文的障礙，快速抓到重點，學會了比補習更有效,黃春木,https://www.books.com.tw/products/0010900135?loc=P_0003_096
97,搞懂內分泌，練成你的易瘦體質：不節食、不斷醣、不生酮、不吃藥、不需要制式菜單，打造這輩子都胖不了的瘦身術！,蔡明劼,https://www.books.com.tw/products/0010895144?loc=P_0003_097
98,瘋潮行銷：華頓商學院最熱門的一堂行銷課！6大關鍵感染力，瞬間引爆大流行【暢銷新裝版】,約拿．博格,https://www.books.com.tw/products/0010893715?loc=P_0003_098
99,首爾大學韓國語1A（雙光碟版：1互動光碟＋1MP3）,首爾大學語言教育院,https://www.books.com.tw/products/0010617267?loc=P_0003_099
100,小書痴的下剋上 短篇集I：為了成為圖書管理員不擇手段！,香月美夜,https://www.books.com.tw/products/0010904068?loc=P_0003_100
